OverallQual,TotalArea,GarageCars,PropertyAge,MSSubClass,MSZoning,Neighborhood,HasPorch,HasDeck,LotConfig,HouseStyle,SaleType,SaleCondition,SalePrice
6,3490,1,92,70,RL,9,1,0,Inside,2Story,WD,Normal,153575
8,4917,2,0,60,RL,1,1,0,Inside,2Story,New,Partial,233230
5,4212,0,96,190,RL,24,1,0,Inside,2Story,WD,Normal,135900
5,4200,1,60,50,RL,16,1,0,Inside,1.5Fin,WD,Normal,131000
7,5321,2,29,60,RL,7,1,0,Corner,2Story,WD,Normal,235000
6,4704,2,56,20,RL,12,0,1,Inside,1Story,WD,Normal,167000
6,3009,2,22,80,RL,5,0,1,CulDSac,SLvl,WD,Normal,142500
5,4026,1,57,50,RM,14,0,1,Inside,1.5Fin,WD,Normal,152000
7,4875,2,10,60,FV,6,1,0,Inside,2Story,WD,Normal,239000
6,4188,2,39,60,RL,7,0,1,Inside,2Story,WD,Normal,175000
6,3396,1,59,20,RL,3,1,0,Inside,1Story,WD,Family,158500
5,3837,1,53,190,RL,3,0,0,Corner,1Story,WD,Normal,157000
8,5932,2,9,60,RL,1,1,1,Inside,2Story,WD,Normal,267000
7,4623,3,5,20,RL,1,1,1,Corner,1Story,WD,Normal,205000
5,2682,2,34,20,RL,1,0,1,Corner,1Story,WD,Abnorml,149900
7,8456,3,128,75,RM,8,0,1,Inside,2.5Fin,WD,Normal,295000
8,6000,3,3,20,RL,1,0,1,Inside,1Story,WD,Normal,305900
7,5186,3,17,60,RL,13,1,1,Inside,2Story,WD,Normal,225000
6,3131,0,88,50,RM,14,1,0,Inside,1.5Fin,WD,Normal,89500
4,2583,2,69,30,RL,16,0,1,Inside,1Story,WD,Normal,82500
9,5784,3,3,20,RL,11,1,1,Inside,1Story,WD,Normal,360000
6,3699,2,13,60,RL,18,1,1,Inside,2Story,WD,Normal,165600
6,2916,1,61,20,RL,12,0,0,Inside,1Story,WD,Normal,132000
5,3029,2,67,190,RM,8,1,0,Inside,1.5Fin,WD,Normal,119900
7,6208,2,44,20,RL,17,0,0,Inside,1Story,WD,Normal,375000
7,4010,2,81,70,RM,8,1,0,Inside,2Story,WD,Normal,178000
7,3580,2,5,60,RL,18,1,1,Inside,2Story,WD,Normal,188500
7,5551,2,29,60,RL,7,1,1,Corner,2Story,WD,Normal,260000
8,5006,3,1,60,FV,6,1,1,Inside,2Story,WD,Normal,270000
7,6639,3,16,60,RL,4,1,1,Inside,2Story,WD,Normal,260000
7,4316,2,29,80,RL,7,1,1,Inside,SLvl,WD,Normal,187500
9,6441,3,0,60,RL,11,1,1,Corner,2Story,New,Partial,342643
8,6072,3,3,60,RL,11,1,1,Inside,2Story,WD,Normal,354000
7,6962,2,21,60,RL,13,1,1,Inside,2Story,WD,Normal,301000
3,3488,1,51,20,RM,8,1,1,Inside,1Story,WD,Normal,126175
7,6666,2,43,80,RL,12,0,1,Corner,SLvl,WD,Normal,242000
5,2326,2,66,45,RM,14,1,0,Inside,1.5Unf,WD,Normal,87000
8,5157,2,15,120,RL,2,1,1,CulDSac,1Story,Con,Normal,324000
6,4149,1,46,20,RL,12,1,0,Inside,1Story,WD,Normal,145250
6,5112,2,93,75,RL,9,1,0,Inside,2.5Unf,WD,Normal,214500
5,2980,1,89,70,RM,14,1,0,Corner,2Story,WD,Normal,78000
5,5184,1,43,90,RL,12,0,1,Inside,1Story,WD,Normal,119000
5,3168,1,49,20,RL,12,0,0,Inside,1Story,WD,Normal,139000
8,6464,3,6,20,RL,11,0,0,Inside,1Story,WD,Normal,284000
7,4074,2,4,120,RM,11,1,1,FR3,1Story,WD,Normal,207000
6,4219,2,10,60,RL,18,1,1,Inside,2Story,WD,Normal,192000
5,5071,2,43,190,RL,17,0,1,Corner,1.5Fin,WD,Normal,228950
9,5766,3,2,20,RL,19,1,1,Corner,1Story,WD,Normal,377426
7,4608,2,6,20,RL,1,1,1,Inside,1Story,WD,Normal,214000
7,4450,2,22,20,RL,7,1,1,Corner,1Story,WD,Normal,202500
6,3645,1,51,20,RL,12,1,0,Inside,1Story,WD,Normal,155000
8,4783,2,8,60,RL,17,0,1,Inside,2Story,WD,Normal,202900
4,2403,1,59,20,RH,13,1,1,Inside,1Story,WD,Normal,82000
3,2080,2,57,90,RL,12,0,0,Inside,1Story,WD,Normal,87500
9,5052,2,3,120,RL,11,1,1,Inside,1Story,WD,Normal,266000
5,2760,1,34,160,RM,15,0,1,Inside,2Story,WD,Normal,85000
6,4126,1,67,50,RL,9,0,0,Inside,1.5Fin,WD,Normal,140200
6,2874,1,47,20,RL,12,0,0,CulDSac,1Story,WD,Normal,151500
6,4434,2,49,20,RL,12,1,0,Inside,1Story,WD,Normal,157500
7,4016,2,5,160,RL,11,1,0,Inside,2Story,WD,Normal,154000
9,7304,3,1,60,RL,11,0,0,Inside,2Story,New,Partial,437154
9,5607,2,0,120,RL,11,1,1,Inside,1Story,New,Partial,318061
7,4359,2,20,120,RL,20,1,0,Inside,1Story,WD,Abnorml,190000
5,2838,1,67,50,RL,16,0,1,Inside,1.5Fin,ConLw,Normal,95000
6,2064,2,82,30,RM,8,0,1,Inside,1Story,WD,Normal,105900
6,4130,1,66,50,RL,24,1,0,Inside,1.5Fin,WD,Normal,140000
6,3600,2,12,20,RL,1,1,0,Inside,1Story,WD,Normal,177500
6,3492,2,17,20,RL,18,1,1,Inside,1Story,WD,Normal,173000
5,3426,2,31,120,RM,15,1,1,Inside,1Story,WD,Normal,134000
5,3766,1,48,80,RL,20,1,1,Inside,SLvl,WD,Abnorml,130000
8,4934,2,8,60,RL,4,1,1,CulDSac,2Story,WD,Normal,280000
6,2712,2,29,85,RL,5,1,0,CulDSac,SFoyer,WD,Normal,156000
5,3893,1,68,50,RL,9,0,0,Inside,1.5Fin,WD,Normal,145000
7,3844,2,6,85,RL,16,1,0,Corner,SFoyer,ConLD,Normal,198500
6,2457,1,37,160,RM,23,0,1,Inside,2Story,WD,Normal,118000
6,3944,2,30,60,RL,7,1,1,FR2,2Story,WD,Normal,190000
5,3360,1,89,70,RM,14,1,0,Inside,2Story,WD,Normal,147000
6,4182,2,46,20,RL,12,1,0,Inside,1Story,WD,Normal,159000
6,3961,1,46,80,RL,12,1,1,Corner,SLvl,WD,Normal,165000
5,3804,1,56,20,RL,12,1,0,Inside,1Story,WD,Normal,132000
5,3637,2,51,20,RL,12,1,1,Corner,1Story,WD,Normal,162000
6,4281,2,6,60,RL,18,1,1,Inside,2Story,WD,Normal,172400
4,3176,2,49,50,RL,20,1,0,Inside,1.5Fin,WD,Normal,134432
6,2248,1,26,120,RL,13,1,1,Inside,1Story,WD,Normal,125000
5,3246,1,56,20,RL,12,0,1,Inside,1Story,WD,Normal,123000
7,4703,2,4,60,RL,1,1,1,Inside,2Story,WD,Normal,219500
1,2491,0,87,30,RL,16,0,0,Inside,1Story,WD,Normal,61000
5,2698,2,10,85,RL,1,0,0,CulDSac,SFoyer,WD,Normal,148000
8,6512,2,3,60,FV,6,1,1,Corner,2Story,WD,Normal,340000
9,5568,3,0,20,RL,19,0,1,Corner,1Story,New,Partial,394432
6,4582,2,9,60,RL,18,1,1,Inside,2Story,WD,Normal,179000
5,4408,1,86,50,RL,24,1,0,Inside,1.5Fin,WD,Normal,127000
7,3895,2,0,20,FV,6,1,1,Inside,1Story,New,Partial,187750
7,4533,2,1,60,RL,1,1,1,Inside,2Story,WD,Normal,213500
6,2352,2,81,45,RH,13,1,0,Corner,1.5Unf,WD,Normal,76000
6,5486,2,15,60,RL,20,1,1,Corner,2Story,WD,Normal,240000
8,3794,2,6,120,RL,22,1,1,Inside,1Story,WD,Normal,192000
5,3026,0,96,50,RL,16,1,0,FR2,1.5Fin,WD,AdjLand,81000
6,3291,1,33,80,RL,16,0,1,Inside,SLvl,WD,Abnorml,125000
7,4426,2,9,20,RL,1,1,1,CulDSac,1Story,WD,Normal,191000
10,6346,3,1,60,RL,11,1,1,Inside,2Story,New,Partial,426000
5,3595,1,108,50,RL,16,1,0,Inside,1.5Fin,WD,Normal,119000
6,4726,2,8,60,RL,5,1,1,CulDSac,2Story,WD,Normal,215000
5,1764,1,48,20,RL,12,0,0,Inside,1Story,WD,Normal,106500
4,2364,0,65,30,RL,9,0,0,Corner,1Story,WD,Abnorml,100000
5,2803,1,67,50,RL,8,1,0,Inside,1.5Fin,WD,Normal,109000
5,3432,1,54,20,RL,16,0,1,Inside,1Story,WD,Normal,129000
5,2682,2,37,20,RL,1,0,1,Inside,1Story,WD,Normal,123000
5,4488,1,45,60,RL,12,1,0,Inside,2Story,WD,Normal,169500
5,3115,1,87,30,RM,14,0,0,Corner,1Story,WD,Abnorml,67000
7,4192,2,3,60,FV,6,1,0,Inside,2Story,WD,Normal,241000
8,3836,2,12,120,RL,2,1,1,Inside,1Story,WD,Normal,245500
7,3930,2,1,20,RL,1,0,0,Inside,1Story,New,Partial,164990
5,2016,1,68,30,RL,10,0,1,Inside,1Story,WD,Normal,108000
8,5667,2,8,60,RL,4,1,1,Corner,2Story,WD,Abnorml,258000
6,3950,2,12,60,RL,18,1,0,Inside,2Story,WD,Normal,168000
4,4521,2,33,20,RL,10,1,1,Corner,1Story,WD,Normal,150000
6,3869,1,72,50,RL,24,0,0,Inside,1.5Fin,WD,Normal,115000
6,4200,1,93,70,RL,3,1,0,Inside,2Story,WD,Normal,177000
7,5407,3,1,60,RL,11,1,1,Corner,2Story,New,Partial,280000
8,5190,3,1,60,FV,6,1,0,Inside,2Story,New,Partial,339750
5,3828,1,51,20,RL,16,0,0,Inside,1Story,COD,Abnorml,60000
5,3168,2,51,190,RL,18,0,1,Inside,1Story,WD,Normal,145000
7,4426,2,1,20,FV,6,1,0,Inside,1Story,New,Partial,222000
5,3064,2,83,30,RM,8,1,0,Inside,1Story,WD,Normal,115000
7,5274,3,15,60,RL,13,1,1,CulDSac,2Story,WD,Normal,228000
7,4020,2,0,20,RL,18,1,1,Inside,1Story,New,Partial,181134
6,3472,2,28,60,RL,10,0,0,Inside,2Story,WD,Normal,149500
6,6618,3,89,70,RL,3,0,0,Inside,2Story,WD,Normal,239000
5,3024,1,67,50,RL,16,0,0,Inside,1.5Fin,WD,AdjLand,126000
5,3168,1,42,20,RL,12,1,0,Inside,1Story,WD,Normal,142000
7,4032,4,11,90,RM,5,0,0,Inside,SFoyer,WD,Alloca,206300
6,4806,2,32,20,RL,7,0,1,FR2,1Story,WD,Normal,215000
5,2964,2,54,20,RL,5,0,0,Inside,1Story,WD,Normal,113000
8,6730,3,10,60,RL,4,1,0,Inside,2Story,WD,Normal,315000
6,3588,1,52,20,RL,12,1,0,Inside,1Story,WD,Normal,139000
7,3429,1,63,60,RM,8,1,0,Inside,2Story,WD,Normal,135000
7,4806,2,20,80,RL,13,1,1,Inside,SLvl,WD,Normal,275000
4,2721,1,51,20,RL,12,0,0,Inside,1Story,WD,Normal,109008
7,3624,2,0,20,RL,1,1,1,Inside,1Story,New,Partial,195400
6,4216,2,21,20,RL,17,1,0,Corner,1Story,WD,Normal,175000
6,2457,1,37,160,RM,23,0,0,Inside,2Story,COD,Abnorml,85400
6,3297,0,88,50,RM,8,1,0,Inside,1.5Fin,ConLD,Abnorml,79900
5,3495,2,36,160,RM,23,1,1,Inside,2Story,WD,Normal,122500
6,4134,2,11,60,RL,18,1,0,Corner,2Story,WD,Normal,181000
4,1890,0,36,180,RM,15,0,1,Inside,SFoyer,WD,Normal,81000
7,4121,2,13,60,RL,1,1,1,CulDSac,2Story,ConLw,Normal,212000
6,2884,2,86,50,RM,8,0,0,Inside,1.5Fin,WD,Normal,116000
6,2692,1,83,45,RM,9,1,0,Inside,1.5Unf,WD,Normal,119000
5,1828,1,94,30,RL,3,1,0,Inside,1Story,WD,Normal,90350
6,3076,2,89,50,RL,16,1,0,Corner,1.5Fin,ConLI,Normal,110000
10,7898,3,1,20,RL,11,1,0,Inside,1Story,WD,Normal,555000
4,4320,0,53,90,RL,16,0,0,Inside,1Story,WD,Normal,118000
5,4224,2,78,50,RM,9,0,0,Inside,1.5Fin,WD,Normal,162900
7,3774,3,1,120,RL,22,1,1,Inside,1Story,New,Partial,172500
7,4731,2,14,60,RL,1,1,1,Inside,2Story,WD,Normal,210000
6,4814,2,53,20,RL,16,0,0,Corner,1Story,COD,Normal,127500
6,5293,2,44,20,RL,12,0,0,Corner,1Story,WD,Normal,190000
7,4702,2,8,60,RL,18,0,1,Corner,2Story,WD,Normal,199900
6,3532,1,69,50,RM,14,0,0,Inside,1.5Fin,WD,Normal,119500
3,3015,1,59,50,RM,8,1,0,Inside,1.5Fin,WD,Normal,120000
6,2439,1,76,30,RM,8,1,0,Inside,1Story,WD,Normal,110000
7,4599,2,31,20,RL,20,1,1,Inside,1Story,WD,Normal,280000
6,4384,2,11,60,RL,17,1,1,Corner,2Story,WD,Normal,204000
8,3948,2,1,60,FV,6,1,0,Inside,2Story,WD,Normal,210000
5,5184,2,30,90,RL,5,0,0,Inside,1Story,WD,Family,188000
7,3726,2,34,20,RL,7,0,0,Inside,1Story,WD,Normal,175500
5,3312,3,92,70,RM,8,1,0,Inside,2Story,COD,Abnorml,98000
4,4690,2,54,20,RL,20,1,1,CulDSac,1Story,WD,Normal,256000
8,3920,1,83,70,RM,8,1,1,Inside,2Story,WD,Normal,161000
5,3115,1,59,50,RL,9,1,0,Corner,1.5Fin,WD,Normal,110000
8,4702,2,0,60,FV,6,1,0,Inside,2Story,New,Partial,263435
7,2830,2,73,70,RL,24,0,1,Inside,2Story,WD,Normal,155000
5,2592,1,44,20,RL,10,1,0,Inside,1Story,WD,Normal,62383
6,4035,1,74,70,RL,3,0,0,Inside,2Story,WD,Normal,188700
5,3120,0,31,20,RL,1,0,0,Inside,1Story,WD,Normal,124000
7,4203,2,2,120,RM,22,1,1,Inside,1Story,WD,Normal,178740
7,3831,2,37,20,RL,12,1,0,Inside,1Story,WD,Normal,167000
5,4016,1,65,70,RL,12,0,1,Inside,2Story,WD,Normal,146500
8,4894,3,1,20,RL,11,1,0,Inside,1Story,WD,Normal,250000
6,4252,2,15,60,RL,13,1,1,Corner,2Story,WD,Normal,187000
8,4492,2,25,120,RL,19,1,0,Corner,1Story,WD,Normal,212000
7,4746,2,30,60,RL,7,1,0,Inside,2Story,WD,Normal,190000
6,2691,2,3,180,RM,16,1,0,Inside,SLvl,WD,Normal,148000
8,5928,3,1,20,RL,11,1,1,Inside,1Story,New,Partial,440000
8,4798,2,7,120,RL,19,1,1,Inside,1Story,WD,Normal,251000
5,2910,2,44,20,RL,10,1,0,Corner,1Story,WD,Normal,132500
6,4464,2,11,20,RL,1,1,1,Inside,1Story,WD,Normal,208900
9,7439,3,1,60,RL,11,1,1,Inside,2Story,WD,Normal,380000
8,5141,3,2,20,RL,1,1,1,Inside,1Story,WD,Normal,297000
4,3169,2,70,30,RM,8,1,0,Inside,1Story,WD,Alloca,89471
9,5533,3,2,20,RL,11,1,1,FR2,1Story,WD,Normal,326000
9,5376,3,3,20,RL,11,1,1,Inside,1Story,WD,Normal,374000
7,4562,1,94,70,RM,8,0,0,Corner,2Story,WD,Normal,155000
6,3648,2,8,120,RM,5,1,0,FR2,1Story,WD,Normal,164000
5,2997,1,45,20,RL,10,1,0,Corner,1Story,WD,Normal,132500
5,3339,1,59,20,RL,12,1,0,Inside,1Story,WD,Normal,147000
5,3219,2,42,20,RL,12,0,0,Inside,1Story,WD,Normal,156000
5,4452,2,36,20,RL,7,1,1,Inside,1Story,WD,Normal,175000
5,5782,2,106,190,RL,8,0,1,Corner,1.5Fin,ConLD,Normal,160000
4,1890,1,39,180,RM,15,0,0,Inside,SFoyer,WD,Normal,86000
5,2872,1,32,160,RM,15,1,1,Inside,2Story,WD,Normal,115000
6,3962,1,65,50,RL,12,1,0,Inside,1.5Fin,WD,Normal,133000
6,3640,2,0,60,RL,18,0,0,Corner,2Story,New,Partial,172785
5,3807,1,48,20,RL,12,0,0,Inside,1Story,WD,Normal,155000
5,1962,1,71,30,RM,8,1,1,Inside,1Story,WD,Normal,91300
4,2160,0,89,30,C (all),14,1,0,Inside,1Story,WD,Abnorml,34900
8,9656,2,15,20,RL,4,1,1,Inside,1Story,WD,Normal,430000
7,4666,1,83,50,RL,9,1,0,Inside,1.5Fin,WD,Normal,184000
5,2662,1,42,20,RL,10,0,1,Inside,1Story,WD,Normal,130000
5,2736,1,49,20,RL,12,1,1,Inside,1Story,WD,Normal,120000
6,3108,1,34,160,RM,23,1,1,Inside,2Story,WD,Normal,113000
7,4402,2,3,60,FV,6,1,0,Inside,2Story,WD,Normal,226700
5,3642,2,42,20,RL,16,1,0,Corner,1Story,WD,Normal,140000
7,5103,2,51,20,RL,3,1,0,Inside,1Story,WD,Normal,289000
6,3499,2,35,160,RL,21,0,1,Inside,2Story,WD,Normal,147000
5,4880,2,57,90,RM,8,0,0,Inside,2Story,COD,Normal,124500
8,4599,2,13,60,RL,13,1,1,Inside,2Story,WD,Normal,215000
6,3654,2,0,20,FV,6,1,0,Inside,1Story,New,Partial,208300
7,3445,2,80,70,RM,8,1,0,Inside,2Story,WD,Normal,161000
5,3123,1,50,20,RL,12,1,1,Corner,1Story,WD,Normal,124500
5,3734,1,58,20,RL,12,1,1,Inside,1Story,WD,Normal,164900
7,4104,2,1,120,RL,11,1,1,Inside,1Story,New,Partial,202665
5,2592,2,48,20,RL,12,0,0,Corner,1Story,WD,Normal,129900
6,3244,2,24,20,RL,5,1,1,Corner,1Story,WD,Normal,134000
5,2346,1,81,45,RL,3,1,0,Inside,1.5Unf,WD,Normal,96500
10,6046,3,0,20,RL,11,1,1,Inside,1Story,New,Partial,402861
6,4927,2,37,80,RL,7,1,0,Corner,SLvl,COD,Abnorml,158000
7,5952,3,13,60,RL,4,0,1,Inside,2Story,WD,Normal,265000
6,4386,2,9,60,RL,1,1,0,CulDSac,2Story,WD,Normal,211000
7,5436,1,83,70,RL,3,1,0,Inside,2Story,WD,Normal,234000
4,2588,0,108,190,RL,8,1,1,Inside,2Story,WD,Normal,106250
6,3732,1,50,20,RL,12,1,0,Corner,1Story,WD,Normal,150000
6,4332,2,59,50,RM,9,1,0,Corner,1.5Fin,WD,Normal,159000
10,10000,3,0,60,RL,16,1,1,Inside,2Story,New,Partial,184750
7,6175,3,11,60,RL,4,1,1,Inside,2Story,WD,Normal,315750
7,3789,2,1,20,FV,6,1,1,Inside,1Story,WD,Normal,176000
5,2784,1,51,20,RL,12,1,1,Inside,1Story,WD,Normal,132000
9,6878,3,0,60,RL,11,1,1,Inside,2Story,New,Partial,446261
4,1738,0,87,30,RL,16,1,0,Inside,1Story,WD,Normal,86000
6,7065,2,50,20,RL,3,1,0,CulDSac,1Story,WD,Alloca,200624
6,4479,2,20,80,RL,17,0,1,Inside,SLvl,WD,Abnorml,175000
6,3335,2,88,70,RM,9,1,0,FR3,2Story,WD,Normal,128000
5,1654,1,55,20,RL,12,0,0,Inside,1Story,WD,Normal,107500
1,668,0,61,20,RL,9,0,0,Inside,1Story,WD,Normal,39300
8,3535,2,2,60,RL,18,1,1,Inside,2Story,WD,Normal,178000
5,3811,0,98,190,RL,16,1,1,Inside,2Story,WD,Normal,107500
7,4328,2,10,60,RL,1,1,1,CulDSac,2Story,WD,Normal,188000
4,2592,2,36,20,RL,12,0,1,FR2,1Story,COD,Normal,111250
5,3369,1,38,20,RL,10,0,1,Inside,1Story,WD,Normal,158000
8,4783,2,9,20,RL,1,0,1,Inside,1Story,WD,Normal,272000
9,5514,3,3,20,RL,17,1,1,Inside,1Story,WD,Normal,315000
8,5539,3,7,60,RL,4,1,0,FR2,2Story,WD,Normal,248000
7,5010,2,11,20,RL,7,1,1,Inside,1Story,WD,Normal,213250
7,2257,1,9,120,RH,12,1,1,Inside,SFoyer,WD,Normal,133000
7,3646,2,0,60,RL,18,1,1,Inside,2Story,New,Partial,179665
7,5570,3,18,50,RL,7,0,0,Corner,1.5Fin,WD,Normal,229000
6,4335,2,84,50,RL,9,1,0,Inside,1.5Fin,WD,Normal,210000
5,2304,2,37,85,RL,5,0,1,Inside,SFoyer,WD,Normal,129500
5,2475,2,53,20,RM,8,1,1,Inside,1Story,WD,Normal,125000
7,5100,2,6,60,FV,6,1,1,Inside,2Story,WD,Normal,263000
6,3207,2,31,120,RL,21,1,0,Inside,1Story,COD,Abnorml,140000
5,2784,1,51,20,RM,8,0,0,Inside,1Story,WD,Normal,112500
8,5143,3,3,20,RL,11,1,1,Inside,1Story,WD,Normal,255500
4,2252,2,60,20,RL,16,1,0,Inside,1Story,WD,Normal,108000
7,5090,3,5,60,RL,11,1,1,Inside,2Story,WD,Normal,284000
5,3089,1,84,45,RM,9,1,0,Inside,1.5Unf,WD,Normal,113000
5,3276,1,49,20,RL,12,1,1,Inside,1Story,WD,Normal,141000
4,3309,1,86,50,C (all),14,1,0,Inside,1.5Fin,COD,Normal,108000
7,3621,2,12,60,RL,18,1,1,FR2,2Story,WD,Normal,175000
7,4488,2,3,120,RL,22,1,1,Inside,1Story,WD,Normal,234000
5,4176,2,53,20,RL,10,1,0,Inside,1Story,WD,Normal,121500
5,4167,2,32,20,RL,5,1,1,Inside,1Story,WD,Normal,170000
5,2988,0,68,30,RL,16,0,1,Inside,1Story,WD,Normal,108000
6,4511,2,90,50,RL,16,1,1,Inside,1.5Fin,WD,Normal,185000
7,5685,2,14,60,RL,4,1,0,CulDSac,2Story,WD,Normal,268000
6,4100,1,95,70,RL,24,1,0,Corner,2Story,WD,Normal,128000
9,6130,3,3,60,RL,19,1,1,Inside,2Story,WD,Normal,325000
7,4587,2,6,20,RL,11,0,0,Inside,1Story,WD,Normal,214000
8,5760,2,26,50,RL,13,1,1,Inside,1.5Fin,WD,Normal,316600
5,2829,2,27,90,RL,12,0,1,Corner,SFoyer,WD,Normal,135960
5,5184,2,43,90,RL,12,0,0,Inside,1Story,WD,Normal,142600
6,2592,1,47,20,RL,12,0,1,Inside,1Story,WD,Abnorml,120000
7,4230,2,0,60,RL,17,1,1,Corner,2Story,New,Partial,224500
7,3244,2,7,80,RL,18,0,1,Inside,SLvl,WD,Normal,170000
5,2590,1,36,80,RL,12,0,1,FR2,SLvl,WD,Normal,139000
5,3264,1,61,50,RL,12,1,1,Inside,1.5Fin,COD,Abnorml,118500
7,3815,1,81,50,RL,24,1,0,Inside,1.5Fin,WD,Normal,145000
5,3804,2,40,80,RL,10,1,1,Inside,SLvl,WD,Abnorml,164500
7,3473,2,1,160,FV,6,1,0,Corner,2Story,WD,Abnorml,146000
5,4640,1,54,50,RM,8,0,0,Inside,1.5Fin,WD,Normal,131500
6,4002,2,47,20,RL,12,1,1,CulDSac,1Story,WD,Normal,181900
